title,company,description,location,is_remote,city,state,country,job_type,employment_type,experience_level,skills
 Data Science Architect , Reliable Software Resources ,"responsibilities: provides vision, expertise and technology-based solutions in long range planning in the area of systems  architecture. serves as resident expert to conducts studies, investigate the latest technology developments  and analyze impact of current and future system requirements. recommends technology, drafts and presents  proposed corporate policies, drafts and presents proposed procedures, practices and standards. ensures that  new initiatives conform to the firm's long term strat","['Reliable Software Resources  Pittsburgh', ' PA', ' USA']",0,Reliable Software Resources  Pittsburgh, PA, USA,Other,long term,nan,
 Full Stack Engineer with Data Science ," DEEGIT, INC. ","a full stack engineer with deep understanding of data science and software engineering practices.   job responsibilities: strong computer science fundamentals such as algorithms, data structures, multithreading, object-oriented development, distributed applications, client-server architecture.design and implement machine learning models and data ingestion pipelines.develop and support a platform that enables data scientists to rapidly develop, train, and experiment with machine learning models.e","['DEEGIT', ' INC.  Remote']",1,DEEGIT, INC.  Remote,,Data Engineer,,machine learning,machine learning
 Principal-Pred/Pres Analytics - Data science , Ampcus Inc ,"hello,   greetings from ampcus inc. ampcus is a technology services consulting company. ampcus inc. is a global leader in end-to-end it business solutions and services with latest technologies. we are listed among the top 50 fastest growing companies in usa. we work closely with our clients for talent acquisition.  we are looking for an principal-pred/pres analytics. this is 6+ months position. your resume is a very good match for this opportunity, please review the job description below and ple","['Ampcus Inc  Alpharetta', ' GA', ' USA']",0,Ampcus Inc  Alpharetta, GA, USA,Data Scientist,,leader,
 Data Science Director , Blend360 ,"edit  dynamic, fast-growing, entrepreneurial data science solutions company seeking seasoned data scientists! if you’ve got entrepreneurial spirit and passion, are driven by results, and want to be a part of significant growth, we’re looking for you!  blend360 is an award-winning, new breed data science solutions company focused on powering exceptional results to our fortune 500 clients. we are a  growing company—born at the intersection of advanced analytics, data and technology. blend360 it is",['Blend360  Remote'],1,Blend360  Remote,,,Other,,nan,
 Director of Data Science (3708) , Flexion Inc ,"flexion is currently seeking a director of data scientist for a direct hire/full-time employee role with our client in minneapolis, mn.  as the director of data science, you will play a key role in unlocking our client's vision - transforming the measure of marketing success - through the development and advancement of measurement methodologies.  you will lead the development of additional analytics solutions, data science tools and application of predictive analytics to meet the needs of our cl","['Flexion Inc  Minneapolis', ' MN', ' USA']",0,Flexion Inc  Minneapolis, MN, USA,Other,full time,director,
" Manager, Data Science & Analytics "," Nutrien Ag Solutions, Inc ","manager, data science & analytics – remote, us nutrien ag solutions is the retail division of nutrien™, the largest crop inputs company in the world. as part of our collective mission of feeding the future, nutrien ag solutions provides full-acre solutions through our trusted crop consultants at more than 2, locations in north america, south america, europe and australia.  working at nutrien ag solutions will provide you an opportunity to help us feed the future, and grow your career.  what you ","['Nutrien Ag Solutions', ' Inc  Remote']",1,Nutrien Ag Solutions, Inc  Remote,,Data Analyst,,manager,
 E-Discovery Data Science Advisor ," Paul, Weiss, Rifkind, Wharton & Garrison LLP ","the e-discovery data science advisor uses advanced data science tools and techniques to enable the discovery of insights from client data and enable the analysis, review, and production of structured data throughout the e-discovery process. the e-discovery data science advisor will also use these techniques and tools to support the enhancement and automation of e discovery processes. consult with case teams on effective data modeling, mining and other data analyses as related to e-discovery and ","['Paul', ' Weiss', ' Rifkind', ' Wharton & Garrison LLP  New York', ' NY', ' USA']",0,Paul, Weiss, USA,Other,other,nan,data modeling
 Data Science Lead ," Republic Services, Inc. ","the data analytics lead serves as the primary liaison between leadership and data scientists to leverage information adding value to the organization's workforce. this position works with all levels of hr staff as well as leadership across the organization in assessing needs for various business functions and assists management in identifying, analyzing and recommending data products that add business value.  projects consist of small ad-hoc information requests to large cross functional data in","['Republic Services', ' Inc.  Scottsdale', ' AZ', ' USA']",0,Republic Services, Inc.  Scottsdale, USA,Other,management,leader,
" Full Stack Engineer - (Python, Data Science and Machine Learning) ", KLNtek ,"hello please check the below position and reply back with the below details and updated resume if you are comfortable.   job title: full stack engineer - (python, data science and ml) location: no location constrain (across us need to work in pst hours) duration: long term    key skills: python, machine learning and data science. job details: strong computer science fundamentals such as algorithms, data structures, multithreading, object-oriented development, distributed applications, client-ser",['KLNtek  Remote'],1,KLNtek  Remote,,,Data Engineer,long term,machine learning,"python,machine learning"
" Data Scientist Lead (data science, Python ,PowerBI or Tableau, RETAIL EXPERIENCE) ", SigmaWay ,"apply by email/direct application at  role: data scientist (lead) location: remote interview process: 3-4 steps must haves: minimum of 4 years of data science experience (ideally 5+ but will consider 4, no less)python or rpowerbi or tableauretail experience will not consider anyone without it  jd: you will have an opportunity to directly influence our consumer product roadmaps and work closely with business leaders across e.l.f. beauty. you will be responsible for following to fuel our digital g",['SigmaWay  Remote'],1,SigmaWay  Remote,,,Data Scientist,,leader,"python,git,tableau"
" REMOTE Senior Machine Learning Engineer - ML, AI, Data Science ", Technology Navigators ,"no sponsorship available. no third-party/c2c candidates. this is a 100% remote opportunity. applicants must reside in the united states. our client, a major player in the cutting-edge artificial intelligence industry, brings other companies’ ai strategies up to speed. engineering creative custom solutions with innovative approaches, this company has delivered a clear competitive advantage to both startups and enterprise environments alike. this client has an immediate need for an experienced sen",['Technology Navigators  Remote'],1,Technology Navigators  Remote,,,Data Engineer,other,nan,
 IT Data Science Consultant SME , StoneLaurel Consulting ,"it data science consultant sme                               ~ we do not offer c2c or sponsorships agreements ~  ~group benefits options: medical, dental, vision, 401k, flexible spending account (fsa)~ this position is responsible for business consulting activities for the analytics competency center within various business units as the primary interface and as a liaison to information technology: serve as an expert in translating complex data into key strategy insights and valuable actions.disc","['StoneLaurel Consulting  Charlotte', ' NC', ' USA']",0,StoneLaurel Consulting  Charlotte, NC, USA,Other,,nan,
 Senior Project Manager (AI/ML/Data Science/Digital Health) - W2 - Remote to Start Off ," Softpath System, LLC. ","job details  title: senior project manager (ai/ml/data science/digital health)  location: irvine, ca  duration: 12 months    job description:  develop, execute and manage multiple it projects within their defined scope(s). manage a multitude of interrelated project activities and lead all aspects of the project lifecycle, working with project sponsors/key stakeholders, team members, and management to oversee all phases of project completion. build and manage project’s work breakdown structure, m","['Softpath System', ' LLC.  Remote or Irvine', ' CA', ' USA']",1,Softpath System, LLC.  Remote or Irvine, USA,Other,"12 months,management",manager,git
 SAP Data Science consultant , SoftPath Technologies LLC ,"hi, greetings from softpath technologies !! pfb the below requirements with my client if you are interested kindly share your resume to pmahaatsoftpathtech.com role: sap data science consultant  exp: 10+yrs   location: cherry hill, nj duration: contract primary responsibilities  use machine learning, deep learning and other data science techniques to create advanced analytics solutions to business problems  wrangle large datasets, identify critical information, develop and test hypotheses and ma","['SoftPath Technologies LLC  Cherry Hill', ' NJ', ' USA']",0,SoftPath Technologies LLC  Cherry Hill, NJ, USA,Other,"contract,other",machine learning,"machine learning,deep learning"
 Data Science Intern , Cannondesign ,"cannondesign has an exciting opportunity for a data science intern to join our technology in practice team. take a look at the description below. if you think your skills and experience make you a good match for this position, wed love to hear from you. were looking for creative, curious, empathetic people to join our living-centered design movement. about our firm  cannondesign is an integrated design solutions firm focused on helping people continuously flourish. whether designing for innovati","['Cannondesign  Los Angeles', ' CA', ' USA']",0,Cannondesign  Los Angeles, CA, USA,Other,,intern,
 Data Science Intern , Cannondesign ,"cannondesign has an exciting opportunity for a data science intern to join our technology in practice team. take a look at the description below. if you think your skills and experience make you a good match for this position, wed love to hear from you. were looking for creative, curious, empathetic people to join our living-centered design movement. about our firm  cannondesign is an integrated design solutions firm focused on helping people continuously flourish. whether designing for innovati","['Cannondesign  Chicago', ' IL', ' USA']",0,Cannondesign  Chicago, IL, USA,Other,,intern,
 Data Science Intern , Cannondesign ,"cannondesign has an exciting opportunity for a data science intern to join our technology in practice team. take a look at the description below. if you think your skills and experience make you a good match for this position, wed love to hear from you. were looking for creative, curious, empathetic people to join our living-centered design movement. about our firm  cannondesign is an integrated design solutions firm focused on helping people continuously flourish. whether designing for innovati","['Cannondesign  St. Louis', ' MO', ' USA']",0,Cannondesign  St. Louis, MO, USA,Other,,intern,
 Data Science , Softcom Systems ,"role: data science  location: newark, nj ( contract to hire position ) skills: 7+ experience working with data management, analytics and big data technology financial services experience (mutual fund background preferred) experience with data visualization tools (tableau, power bi) experience with hadoop stack and storage technologies such as hdfs, mapreduce, yarn, hive, sqoop, impala, spark, flume, kafka and/or oozie experience with big data analytics & business intelligence and industry standa","['Softcom Systems  Newark', ' NJ', ' USA']",0,Softcom Systems  Newark, NJ, USA,Other,"contract,management",nan,"spark,hadoop,hive,power bi,tableau"
 Data Science Engineer , Horn Solutions Inc. ,horn solutions has partnered with a client in search of a talented data science engineer to join their team for a new data project where they will be standing up their data science environment from scratch. this client is located in las colinas and the position will be partially on site. the position:  we are looking for an experienced data engineer to join our team. you will use various methods to transform raw data into useful data systems. the ideal candidate should have strong analytical ski,"['Horn Solutions Inc.  Irving', ' TX', ' USA']",0,Horn Solutions Inc.  Irving, TX, USA,Data Engineer,,nan,
 Data Science Manager , Deloitte ,"are you looking to make an impact by helping agencies meet their mission goals through successful implementation and operation of their regulatory, mission or compliance programs? are you ready to help our clients mitigate risks that arise from transformational core business operational change or ongoing operations? are you interested in helping clients transform how they operate their business to be more effective? if so, deloitte's regulatory compliance team could be the place for you! our tea","['Deloitte  Arlington', ' VA', ' USA']",0,Deloitte  Arlington, VA, USA,Other,,nan,
 Data Science - Intern , SS & C Technologies Inc ,"at ss&c intralinks we pride ourselves on giving each intern a real-world experience and opportunity to hone their skills, build their portfolio, network with professionals and build relationships, in addition to preparing them for a full-time position after graduation. motivated interns play an important role in making this a reality, but we're here to help! about the team:  we see ourselves as a ""start-up"" within a big product company. we cater to all the flagship products, applications and bus","['SS & C Technologies Inc  Waltham', ' MA', ' USA']",0,SS & C Technologies Inc  Waltham, MA, USA,Other,full time,intern,
 Data Science Programmer , Perspecta ,"peraton overview peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. as the worlds leading mission capability integrator and transformative enterprise it provider, we deliver trusted and highly differentiated national security solutions and technologies that keep people safe and secure. peraton serves as a valued partner to essential government agencies across the intelligence, space, cyber, defense, civilian, health, and state and local","['Perspecta  McLean', ' VA', ' USA']",0,Perspecta  McLean, VA, USA,Other,,nan,
 Data Science Manager ," Red Oak Technologies, Inc. ","the data science manager is responsible for leveraging structured and unstructured data sets in order to gain critical insight. on how to drive networks, systems, and products forward.  this individual should be an expert data scientist while also being able to lead small teams; responsible for creating machine learning models that help to better understand network capacity, system performance, or licensing consumption across out platforms. the data science manager could be located in any one of","['Red Oak Technologies', ' Inc.  Remote']",1,Red Oak Technologies, Inc.  Remote,,Other,,machine learning,machine learning
 Data Science Application Administrator , SAIC ,"description saic is seeking a data science application administrator to joing our team to provide support for the division in huntsville, al. this job is temporarily remote / virtual / work from home due to covid-19. will possibly return to the office in huntsville, al once the threat of covid-19 is eliminated. job description: administers cots data visualization application. conducts analysis and collaborates with subject matter experts in the planning, design, development, and execution of ele","['SAIC  Huntsville', ' AL', ' USA']",0,SAIC  Huntsville, AL, USA,Other,,nan,
" Manager, Data Science, Analytics ", comScore ,"may 14, 2021  manager, data science, analytics job description  job title: manager, data science, analytics location: reston, va about this role: this position draws on expertise in analysis, big data, and operations to manage and improve the processes that produce comscore's cross-platform, digital, and television audience data. clients around the globe rely on this information to shape business strategies and fuel advertisement buying and selling. this dedicated leader motivates staff and coll","['comScore  Reston', ' VA', ' USA']",0,comScore  Reston, VA, USA,Data Analyst,,manager,"git,aws"
 Director of Data Science , Jobot ,"remote candidates welcome to apply!  this jobot job is hosted by: christina finster are you a fit? easy apply now by clicking the ""apply now"" button and sending us your resume. salary: $275, per year  a bit about us:  confidential search  why join us?  bay area health-tech start-up  series a - with big backings  job details  key attributes: *leadership **managed and delivered data science projects and teams for saas/data platform companies deep domain expertise in ml practices, processes, infras","['Jobot  Palo Alto', ' CA', ' USA']",0,Jobot  Palo Alto, CA, USA,Other,,leader,
 Data Science Product Manager , New York Life Insurance Company ,"when you join new york life, you're joining a company that values development, career growth, collaboration, innovation, and diversity & inclusion. we want employees to feel proud about being part of a company that is committed to doing the right thing. through various resources and programs, you can grow your career while developing personally and professionally. the center for data science and artificial intelligence (cdsai) is the 50-person innovative corporate analytics group within new york","['New York Life Insurance Company  New York', ' NY', ' USA']",0,New York Life Insurance Company  New York, NY, USA,Other,,nan,
 Technical Project Manager(Data Science) , ATMECS ,"hi, position title: technical project manager(data science) location: orange county, ca duration: 12 months solid understanding of agile, scrum and kanban development methodologies.experience with agile project/product management tools like jira and confluence.good understanding of machine learning, data analytics, rule-based systems, and data architecture.experience building solutions based on data, hypotheses, and mvps by defining and aligning on clear requirements, working with a cross-discip","['ATMECS  Tustin', ' CA', ' USA']",0,ATMECS  Tustin, CA, USA,Other,"12 months,management",machine learning,"machine learning,agile"
 Data Science Solution Lead ," Anthem, Inc ","description shift: day job  schedule: full-time  your talent. our vision. at anthem, inc., it's a powerful combination, and the foundation upon which we're creating greater access to care for our members, greater value for our customers, and greater health for our communities. join us and together we will drive the future of health care. this is an exceptional opportunity to do innovative work that means more to you and those we serve at one of america's leading health care companies and a fortu","['Anthem', ' Inc  Harvard', ' IL', ' USA']",0,Anthem, Inc  Harvard, USA,Other,full time,nan,
 Global Head of Data Science & Analytics/ Data Science Leader , Baker Hughes Energy Services LLC ,"job requirements at baker hughes, we are building a talent community of highly talented and motivated professionals for future job roles. if you match the described job role and are as excited as we are to have you on-board in future, please hit the apply button to be a part of our talent community. as a member of our talent community, you will be amongst the first to get exclusive news about baker hughes, various cool projects we are working on, our employee success stories and new job opportun",['Baker Hughes Energy Services LLC'],0,Baker Hughes Energy Services LLC,,,Data Analyst,,nan,
 Data Science Visualization Engineer , SAIC ,"description job description: the pilot training next (ptn) contract is seeking a data visualization specialist to support the data analysis and reporting capability for the air education and training command within the united states air force. the team is seeking a motivated individual with a background in data visualization and analysis. we are a team of ""doers"" with a bias towards action and have a proven track record of implementing innovative technology solutions to solve complex challenges.","['SAIC  Austin', ' TX', ' USA']",0,SAIC  Austin, TX, USA,Data Engineer,contract,specialist,data analysis
 Data Science Visualization Engineer , SAIC ,"description job description: the pilot training next (ptn) contract is seeking a data visualization specialist to support the data analysis and reporting capability for the air education and training command within the united states air force. the team is seeking a motivated individual with a background in data visualization and analysis. we are a team of ""doers"" with a bias towards action and have a proven track record of implementing innovative technology solutions to solve complex challenges.","['SAIC  JBSA Randolph', ' TX', ' USA']",0,SAIC  JBSA Randolph, TX, USA,Data Engineer,contract,specialist,data analysis
